Date,Site,Logger,WNStime,Season,WNSWinters,Ct,Pd,Type,slope,intercept,logDNA,x,z,Tmean,Tmedian,Tsd,Tmin,Tmax,Trange
8/7/12,1,319,0,Summer,0,NA,0,sediment,-3.432,37.741,0,358,0,NA,NA,NA,NA,NA,NA
8/7/12,1,319,0,Summer,0,0,0,swab,-3.234,36.902,0,358,2.2,NA,NA,NA,NA,NA,NA
8/7/12,1,320,0,Summer,0,0,0,sediment,-3.432,37.741,0,363.2,0,NA,NA,NA,NA,NA,NA
8/7/12,1,320,0,Summer,0,0,0,swab,-3.234,36.902,0,363.2,3.13,NA,NA,NA,NA,NA,NA
8/7/12,1,321,0,Summer,0,0,0,swab,-3.234,36.902,0,368.4,2.57,NA,NA,NA,NA,NA,NA
8/7/12,1,322,0,Summer,0,0,0,swab,-3.234,36.902,0,373.6,2.44,NA,NA,NA,NA,NA,NA
8/7/12,1,323,0,Summer,0,0,0,sediment,-3.432,37.741,0,378.8,0,NA,NA,NA,NA,NA,NA
8/7/12,1,323,0,Summer,0,0,0,swab,-3.234,36.902,0,378.8,1.91,NA,NA,NA,NA,NA,NA
8/7/12,1,324,0,Summer,0,0,0,sediment,-3.432,37.741,0,368.4,0,NA,NA,NA,NA,NA,NA
8/7/12,1,325,0,Summer,0,0,0,sediment,-3.432,37.741,0,373.6,0,NA,NA,NA,NA,NA,NA
8/14/12,2,101,0,Summer,0,0,0,swab,-3.491,37.883,0,61,0.7,NA,NA,NA,NA,NA,NA
8/14/12,2,102,0,Summer,0,0,0,swab,-3.491,37.883,0,63.12,1.7,12.60375,12.588,0.0315,12.588,12.651,0.063
8/14/12,2,103,0,Summer,0,0,0,swab,-3.491,37.883,0,65.24,0,12.471,12.471,0.05143928,12.408,12.534,0.126
8/14/12,2,104,0,Summer,0,0,0,swab,-3.491,37.883,0,67.36,1,12.605,12.6205,0.05988322,12.527,12.652,0.125
8/14/12,2,105,0,Summer,0,0,0,swab,-3.491,37.883,0,69.48,0.02,12.42875,12.413,0.0315,12.413,12.476,0.063
8/14/12,2,106,0,Summer,0,0,0,swab,-3.491,37.883,0,71.6,1.1,NA,NA,NA,NA,NA,NA
8/14/12,2,107,0,Summer,0,0,0,swab,-3.491,37.883,0,73.72,0.9,12.719,12.719,0,12.719,12.719,0
8/14/12,2,108,0,Summer,0,0,0,swab,-3.491,37.883,0,75.84,1.02,NA,NA,NA,NA,NA,NA
8/14/12,2,109,0,Summer,0,0,0,swab,-3.491,37.883,0,77.96,0.64,NA,NA,NA,NA,NA,NA
8/14/12,2,110,0,Summer,0,0,0,swab,-3.491,37.883,0,61,0.95,NA,NA,NA,NA,NA,NA
8/14/12,2,111,0,Summer,0,0,0,swab,-3.491,37.883,0,61.83,-1.06,12.922,12.922,0,12.922,12.922,0
8/14/12,2,112,0,Summer,0,0,0,swab,-3.491,37.883,0,62.66,1.6,NA,NA,NA,NA,NA,NA
8/14/12,2,113,0,Summer,0,0,0,swab,-3.491,37.883,0,63.49,1.7,12.8825,12.8825,0.03637307,12.851,12.914,0.063
8/14/12,2,114,0,Summer,0,0,0,swab,-3.491,37.883,0,64.32,2.3,12.48675,12.4865,0.08094597,12.393,12.581,0.188
8/14/12,2,115,0,Summer,0,0,0,swab,-3.491,37.883,0,65.15,1.8,12.79925,12.815,0.0315,12.752,12.815,0.063
8/14/12,2,116,0,Summer,0,0,0,swab,-3.481,37.906,0,65.98,2.9,NA,NA,NA,NA,NA,NA
8/14/12,2,117,0,Summer,0,0,0,swab,-3.481,37.906,0,66.81,1.7,NA,NA,NA,NA,NA,NA
8/14/12,2,118,0,Summer,0,0,0,swab,-3.481,37.906,0,67.64,1.72,NA,NA,NA,NA,NA,NA
8/14/12,2,119,0,Summer,0,0,0,swab,-3.481,37.906,0,61.83,2,NA,NA,NA,NA,NA,NA
8/14/12,2,119,0,Summer,0,0,0,sediment,-3.432,37.741,0,61.83,0,NA,NA,NA,NA,NA,NA
8/14/12,2,120,0,Summer,0,0,0,swab,-3.481,37.906,0,63.49,-0.84,NA,NA,NA,NA,NA,NA
8/14/12,2,121,0,Summer,0,0,0,swab,-3.481,37.906,0,65.24,2.33,12.6715,12.656,0.031,12.656,12.718,0.062
8/14/12,2,121,0,Summer,0,0,0,sediment,-3.432,37.741,0,65.24,0,12.6715,12.656,0.031,12.656,12.718,0.062
8/14/12,2,122,0,Summer,0,0,0,swab,-3.481,37.906,0,69.48,1.3,NA,NA,NA,NA,NA,NA
8/14/12,2,123,0,Summer,0,0,0,swab,-3.481,37.906,0,73.72,1.26,12.79175,12.8075,0.06031791,12.713,12.839,0.126
8/14/12,2,123,0,Summer,0,0,0,sediment,-3.432,37.741,0,73.72,0,12.79175,12.8075,0.06031791,12.713,12.839,0.126
8/14/12,2,124,0,Summer,0,0,0,sediment,-3.432,37.741,0,61.5,0,12.906,12.906,0,12.906,12.906,0
8/14/12,2,125,0,Summer,0,0,0,sediment,-3.432,37.741,0,69.48,0,NA,NA,NA,NA,NA,NA
8/14/12,2,201,0,Summer,0,0,0,swab,-3.481,37.906,0,110,0.7,12.7525,12.7525,0.03637307,12.721,12.784,0.063
8/14/12,2,202,0,Summer,0,0,0,swab,-3.481,37.906,0,112.25,1.74,NA,NA,NA,NA,NA,NA
8/14/12,2,203,0,Summer,0,0,0,swab,-3.481,37.906,0,114.5,3.08,NA,NA,NA,NA,NA,NA
8/14/12,2,204,0,Summer,0,0,0,swab,-3.481,37.906,0,116.75,3.5,NA,NA,NA,NA,NA,NA
8/14/12,2,205,0,Summer,0,0,0,swab,-3.481,37.906,0,119,1.54,12.6485,12.664,0.031,12.602,12.664,0.062
8/14/12,2,206,0,Summer,0,0,0,swab,-3.481,37.906,0,121.25,2.02,NA,NA,NA,NA,NA,NA
8/14/12,2,207,0,Summer,0,0,0,swab,-3.481,37.906,0,123.5,0.9,NA,NA,NA,NA,NA,NA
8/14/12,2,208,0,Summer,0,0,0,swab,-3.481,37.906,0,125.75,1.8,NA,NA,NA,NA,NA,NA
8/14/12,2,209,0,Summer,0,0,0,swab,-3.481,37.906,0,128,-0.87,NA,NA,NA,NA,NA,NA
