grts_cell_id,location_name,location_geometry
12561,kerd,0101000020E6100000E4F736FDD94F5EC04E7FF62345004740
14433,leme,0101000020E6100000649126DE01675DC0EACBD24ECD374840
14433,leme,0101000020E6100000F437A11001675DC0CF4E0647C9374840
11361,lola,0101000020E61000004147AB5AD2735DC03E9468C9E3394840
11361,lola,0101000020E61000008FE4F21FD2735DC08BFD65F7E4394840
865,lora,0101000020E6100000959EE925C6EB5DC0A7785C548B404740
865,lora,0101000020E6100000B29DEFA7C6EB5DC0545227A089404740
3738,lovc,0101000020E6100000B29DEFA7C6C75DC0B4C876BE9FE24440
3738,lvic,0101000020E6100000B29DEFA7C6C75DC018265305A3E24440
18250,mab4,0101000020E6100000842A357BA00F5CC0751F80D426F64540
14273,mais,0101000020E6100000226C787AA5E45EC0C1CAA145B61B4740
14273,mais,0101000020E6100000A530EF71A6E45EC0B4E89D0AB81B4740
8570,masp,0101000020E610000086C954C1A8D45DC0D42B6519E2D04440
8570,masp,0101000020E6100000D49AE61DA7D45DC0713D0AD7A3D04440
1841,mcco,0101000020E61000009F5912A0A6E45DC0E7A90EB919F24640
14673,mfmn,0101000020E6100000E15D2EE23BD35EC00F289B7285334640
1841,misp,0101000020E610000072DC291DACE55DC04182E2C798F74640
11361,mocr,0101000020E61000004B9352D0ED735DC06AD95A5F24384840
17745,mora,0101000020E610000031B610E4A0B45EC0F5A10BEA5BB24640
17745,Mora,0101000020E6100000462575029AB45EC091442FA358B24640
11105,mu1,0101000020E6100000669FC728CFD05DC01DACFF73987B4740
11105,MU1,0101000020E6100000669FC728CFD05DC0BEA3C684987B4740
25722,muco,0101000020E6100000AC1C5A643BDF5DC0302AA913D04C4540
18250,nab1,0101000020E6100000C7681D554D105CC0AAD4EC8156FC4540
18250,nab2,0101000020E61000002C0E677E35115CC07D0569C6A2F94540
18250,nab2,0101000020E610000064E94317D4115CC05DDC460378FB4540
18250,nab3,0101000020E6100000AB9509BFD4115CC008E6E8F17BFB4540
18250,NABat 1,0101000020E6100000B81E85EB51105CC0AAD4EC8156FC4540
11361,nacr,0101000020E61000002D08E57D1C725DC0B62C5F97E1394840
11361,nacr,0101000020E6100000D95F764F1E725DC027A089B0E1394840
18250,NBa1,0101000020E610000055C1A8A44E105CC01C7C613255FC4540
32074,ncan,0101000020E6100000143FC6DCB55C5CC072F90FE9B7574540
12162,ndi1,0101000020E6100000630B410E4AD65BC04A5E9D63401E4540
12162,ndi2,0101000020E61000004CE0D6DD3CD55BC085EB51B81E1D4540
586,nopo,0101000020E61000008B1A4CC3F04D5CC0DE8E705AF0564540
34753,nppt,0101000020E6100000B476DB85E6FC5EC0087767EDB63B4740
34753,ntsl,0101000020E6100000F54A598638FA5EC03468E89FE0364740
14673,o_sh,0101000020E610000001C11C3D7ED55EC095B7239C16344640
17745,onfl,0101000020E6100000376C5B94D9B45EC04833164D67AF4640
17745,onfl,0101000020E610000070CE88D2DEB45EC0732EC55565AF4640
14673,o-sp,0101000020E610000001C11C3D7ED55EC095B7239C16344640
12561,oucr,0101000020E61000007F87A2409F505EC058AD4CF8A5FE4640
